run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.train_logLik,metrics.val_logLik,params.y_dropout,params.x_dropout,params.log_file,params.y_base_units,params.base_distribution,params.x_units,params.data_path,params.seed,params.x_layers,params.y_top_units,params.learning_rate,params.fast,params.optimizer,params.model_type,params.log_level,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.source.name,tags.mlflow.user
b9fc692611d24311af3ecd3cb8e94807,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/b9fc692611d24311af3ecd3cb8e94807/artifacts,2023-05-02 21:17:12.896000+00:00,2023-05-02 21:19:41.898000+00:00,251.4150390625,251.4150390625,0,0,train.log,100,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",100,diabetes,3,2,20,1e-04,False,<keras.optimizers.legacy.adam.Adam object at 0x7fb442d03c10>,ModelType.INTER,info,LOCAL,crawling-mare-860,hp.py,david
8f556235255f40a7b1ea3745a4e43fdc,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/8f556235255f40a7b1ea3745a4e43fdc/artifacts,2023-05-02 21:17:10.059000+00:00,2023-05-02 21:17:32.131000+00:00,19.710935592651367,11.726417541503906,0.1,0.1,train.log,20,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",50,diabetes,3,1,5,0.001,False,<keras.optimizers.legacy.adam.Adam object at 0x7f41484b8670>,ModelType.LS,info,LOCAL,respected-doe-507,hp.py,david
b651f575fdf5462db64039ee185abbc5,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/b651f575fdf5462db64039ee185abbc5/artifacts,2023-05-02 21:17:08.779000+00:00,2023-05-02 21:17:29.254000+00:00,16.40766143798828,13.48169231414795,0,0,train.log,100,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",100,diabetes,2,2,5,0.01,False,<keras.optimizers.legacy.adam.Adam object at 0x7fd54841c430>,ModelType.LS,info,LOCAL,abrasive-shrimp-674,hp.py,david
3101a2e2e8b9437086ea7cafaf7550b7,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/3101a2e2e8b9437086ea7cafaf7550b7/artifacts,2023-05-02 21:17:06.283000+00:00,2023-05-02 21:17:29.661000+00:00,11.209371566772461,13.38537311553955,0.1,0.1,train.log,100,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",50,diabetes,1,2,20,0.01,False,<keras.optimizers.legacy.adam.Adam object at 0x7f7e34456ef0>,ModelType.LS,info,LOCAL,aged-cod-49,hp.py,david
53c6c136f7804b4dbd4e67e9de6f3bad,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/53c6c136f7804b4dbd4e67e9de6f3bad/artifacts,2023-05-02 21:17:05.717000+00:00,2023-05-02 21:17:28.500000+00:00,13.397071838378906,6.909780025482178,0,0,train.log,20,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",20,diabetes,2,1,10,0.01,False,<keras.optimizers.legacy.adam.Adam object at 0x7f6aa83e27a0>,ModelType.INTER,info,LOCAL,grandiose-ape-918,hp.py,david
fbefcbe8b0c144df81e8b758df75aaa9,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/fbefcbe8b0c144df81e8b758df75aaa9/artifacts,2023-05-02 21:17:03.104000+00:00,2023-05-02 21:17:24.623000+00:00,251.4150390625,251.4150390625,0.1,0.1,train.log,50,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",100,diabetes,3,2,10,0.01,False,<keras.optimizers.legacy.adam.Adam object at 0x7f91a0651450>,ModelType.INTER,info,LOCAL,persistent-ape-557,hp.py,david
2aec5567d6274eb19b91c8b90e8a5c41,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/2aec5567d6274eb19b91c8b90e8a5c41/artifacts,2023-05-02 21:17:00.842000+00:00,2023-05-02 21:17:44.359000+00:00,227.48866271972656,251.72659301757812,0,0,train.log,100,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",100,diabetes,3,1,5,1e-04,False,<keras.optimizers.legacy.adam.Adam object at 0x7fd3805ac820>,ModelType.LS,info,LOCAL,gaudy-shrew-569,hp.py,david
0b08c0e4b57d43049ca95b1fd4a3282a,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/0b08c0e4b57d43049ca95b1fd4a3282a/artifacts,2023-05-02 21:16:59.483000+00:00,2023-05-02 21:17:42.961000+00:00,10.553693771362305,11.046918869018555,0,0,train.log,100,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",20,diabetes,1,1,20,0.01,False,<keras.optimizers.legacy.adam.Adam object at 0x7f5ed55af0d0>,ModelType.LS,info,LOCAL,tasteful-flea-364,hp.py,david
671627e1ee464e039b232602851658c0,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/671627e1ee464e039b232602851658c0/artifacts,2023-05-02 21:16:57.434000+00:00,2023-05-02 21:17:20.614000+00:00,14.373345375061035,8.888914108276367,0,0,train.log,20,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",20,diabetes,2,2,10,0.01,False,<keras.optimizers.legacy.adam.Adam object at 0x7f4ae504bc70>,ModelType.LS,info,LOCAL,auspicious-shad-540,hp.py,david
4e02e3c330f9405f97cd0df0d08ede77,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/4e02e3c330f9405f97cd0df0d08ede77/artifacts,2023-05-02 21:16:54.831000+00:00,2023-05-02 21:17:39.544000+00:00,15.982193946838379,14.718469619750977,0.1,0.1,train.log,100,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",20,diabetes,2,2,5,0.001,False,<keras.optimizers.legacy.adam.Adam object at 0x7f0fe83d6e00>,ModelType.LS,info,LOCAL,gregarious-mule-221,hp.py,david
2e0f1811c4864eb1bc57050b9f09d5d5,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/2e0f1811c4864eb1bc57050b9f09d5d5/artifacts,2023-05-02 21:16:54.812000+00:00,2023-05-02 21:17:19.361000+00:00,15.437394142150879,10.229694366455078,0,0,train.log,50,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",100,diabetes,1,2,10,0.001,False,<keras.optimizers.legacy.adam.Adam object at 0x7f75c21d8580>,ModelType.LS,info,LOCAL,thundering-ray-55,hp.py,david
a0beb024f74f4ba186a0171f141713f1,955526632901662814,FINISHED,file:///home/david/NEAT_remote/NEAT_code/neat/python/mlruns/955526632901662814/a0beb024f74f4ba186a0171f141713f1/artifacts,2023-05-02 21:16:54.324000+00:00,2023-05-02 21:17:24.292000+00:00,14.408697128295898,9.598163604736328,0.1,0.1,train.log,20,"tfp.distributions.Normal(""Normal"", batch_shape=[], event_shape=[], dtype=float32)",50,diabetes,3,2,10,0.001,False,<keras.optimizers.legacy.adam.Adam object at 0x7fb8e4525b70>,ModelType.LS,info,LOCAL,nimble-goat-412,hp.py,david
